,time,receita,despesas,valor,valor_gol,valor_zag,valor_mei,valor_ata,ano
98,sheffield,4940000.0,75500000.0,16100000.000000002,1000000.0,4580000.0,2880000.0,7650000.0,2016
99,sheffield,2100000.0,70500000.0,14080000.0,40000000.0,6230000.0,2900000.0,4550000.0,2015
100,southampton,27300000.0,58600000.0,210750000.0,17300000.0,73400000.0,41250000.0,78800000.0,2019
101,southampton,26100000.0,62250000.0,305400000.0,23300000.0,104100000.0,75500000.0,102500000.0,2018
102,southampton,98350000.0,61250000.0,297000000.0,17750000.0,126500000.0,60000000.0,92750000.0,2017
103,southampton,85050000.0,68900000.0,263750000.0,20250000.0,96250000.0,50000000.0,97250000.0,2016
104,southampton,52700000.0,60100000.0,225500000.0,17250000.0,64000000.0,54500000.0,89750000.0,2015
105,stoke city,1280000.0,6700000.0,82930000.0,7080000.0,22430000.0,30350000.0,23080000.0,2019
106,stoke city,30150000.0,62900000.0,129300000.00000001,15700000.0,34700000.0,47000000.0,31900000.0,2018
107,stoke city,35140000.0,57700000.0,192450000.0,23500000.0,67950000.0,42500000.0,58500000.0,2017
108,stoke city,3800000.0,38780000.0,186000000.0,17250000.0,41250000.0,40000000.0,87500000.0,2016
109,stoke city,23200000.0,53650000.0,147000000.0,10250000.0,37500000.0,43000000.0,56250000.0,2015
110,sunderland,1940000.0,0.0,15900000.0,42500000.0,4680000.0,3850000.0,6950000.0,2019
111,sunderland,26090000.0,4300000.0,32400000.0,2400000.0,10200000.0,8350000.0,11450000.0,2018
112,sunderland,33140000.0,1410000.0,78580000.0,3000000.0,29250000.0,18580000.0,27750000.0,2017
113,sunderland,23770000.0,41900000.0,132000000.0,19500000.0,47000000.0,22250000.0,43250000.0,2016
114,sunderland,11000000.0,66050000.0,111250000.0,8250000.0,26000000.0,33500000.0,43500000.0,2015
115,swansea,39680000.0,55000000.0,62100000.0,4700000.0,17150000.0,21100000.0,19150000.0,2019
116,swansea,49750000.0,7150000.0,92540000.0,2600000.0,26550000.0,20440000.0,42950000.0,2018
117,swansea,81100000.0,73390000.0,165490000.0,8500000.0,41000000.0,62990000.0,53000000.0,2017
118,swansea,49300000.0,58100000.0,157100000.0,11750000.0,43000000.0,54100000.0,48250000.0,2016
119,swansea,16810000.0,21810000.0,145800000.0,10000000.0,36500000.0,49300000.0,50000000.0,2015
120,tottenham,64500000.0,148500000.0,806800000.0,18300000.0,218200000.0,303200000.0,267100000.00000003,2019
121,tottenham,5350000.0,0.0,898600000.0,28000000.0,286000000.0,280100000.0,304500000.0,2018
122,tottenham,103800000.0,123500000.0,829600000.0,28500000.0,266000000.0,264100000.00000003,271000000.0,2017
123,tottenham,52300000.0,83500000.0,543650000.0,29600000.0,184850000.0,187200000.0,142000000.0,2016
124,tottenham,87580000.0,71000000.0,371850000.0,29000000.0,127500000.0,94350000.0,121000000.0,2015
125,watford,25400000.0,48500000.0,199600000.0,2900000.0,35600000.0,65950000.0,95150000.0,2019
126,watford,51840000.0,30100000.0,239100000.0,5500000.0,52400000.0,86700000.0,94500000.0,2018
127,watford,18740000.0,73400000.0,196000000.0,5750000.0,39750000.0,66000000.0,84500000.0,2017
128,watford,58100000.0,70450000.0,175650000.0,5250000.0,38000000.0,60500000.0,71900000.0,2016
129,watford,9750000.0,82800000.0,137000000.0,7250000.0,31000000.0,45500000.0,53250000.0,2015
130,west brom,37270000.0,21500000.0,90930000.0,6000000.0,23500000.0,17430000.0,44000000.0,2019
131,west brom,26600000.0,15190000.0,145650000.0,7600000.0,35950000.0,31100000.0,71000000.0,2018
132,west brom,2049999.9999999998,53500000.0,165950000.0,4000000.0,43350000.0,43100000.0,75500000.0,2017
133,west brom,26980000.0,37900000.0,123200000.0,5600000.0,25850000.0,28750000.0,63000000.0,2016
134,west brom,12920000.0,42900000.0,113100000.0,7600000.0,23500000.0,33000000.0,49000000.0,2015
135,west ham,55230000.0,119800000.0,303600000.0,7050000.0,67550000.0,136300000.0,92700000.0,2019
136,west ham,14870000.0,100900000.0,359000000.0,8500000.0,93000000.0,144500000.0,113000000.0,2018
137,west ham,69020000.0,56800000.0,260600000.00000003,15000000.0,66099999.99999999,76250000.0,103250000.0,2017
138,west ham,41000000.0,83500000.0,273050000.0,11000000.0,77300000.0,36750000.0,148000000.0,2016
139,west ham,18520000.0,52700000.0,201330000.0,8500000.0,66280000.0,44250000.0,82300000.0,2015
140,wolves,24100000.0,117800000.0,320330000.0,18250000.0,86250000.0,81130000.0,134700000.0,2019
141,wolves,23300000.0,112750000.0,302900000.0,23350000.0,79400000.0,81750000.0,118400000.0,2018
142,wolves,6320000.0,24610000.0,109450000.0,3750000.0,28700000.0,24000000.0,53000000.0,2017
143,wolves,2990000.0,36100000.0,59880000.0,1300000.0,17000000.0,7750000.0,33830000.0,2016
144,wolves,15080000.0,9340000.0,39230000.0,2350000.0,9000000.0,5780000.0,22100000.0,2015
